#Prestal File V0.0.1	2025-3-6_14-27-53_17272
#Generate by ../../../JHS_ana_v05/JHS_ana/testdata/20250226091806_baseline_entry.root
#fecid channelid mean sigma chi2/ndf
0 0 702.445 14.1179 11.8079
0 1 678.152 15.0817 25.3258
0 2 606.103 13.9548 14.3801
0 3 600.263 13.7014 7.78509
0 4 646.199 15.395 12.3936
0 5 604.681 15.7002 19.8856
0 6 618.956 17.3084 12.2096
0 7 617.797 17.2502 12.0971
0 8 596.022 17.3785 26.101
0 9 604.235 16.5814 26.7633
0 10 629.683 17.5753 31.7217
0 11 617.689 15.4692 8.60544
0 12 674.164 15.0548 17.7015
0 13 637.088 15.2229 14.2036
0 14 627.133 14.5211 20.0117
0 15 612.011 14.0281 10.5209
0 16 605.193 18.7046 41.3795
0 17 607.344 18.6811 39.7985
0 18 597.716 19.3984 46.0369
0 19 593.327 19.7283 54.0482
0 20 617.456 18.0761 62.0643
0 21 617.831 16.4848 50.0522
0 22 614.467 18.1111 42.0882
0 23 607.762 16.2772 25.8894
0 24 600.108 15.1245 48.8065
0 25 597.648 15.9376 35.4804
0 26 616.485 15.9954 26.4125
0 27 614.662 15.5266 32.9943
0 28 617.895 16.5796 40.958
0 29 614.926 16.5709 44.8953
0 30 614.309 18.1863 39.4243
0 31 601.617 17.9066 35.7856
0 32 704.683 12.515 25.8904
0 33 619.882 12.426 10.1698
0 34 646.646 14.0048 32.6991
0 35 612.267 13.2693 32.5062
0 36 653.001 15.623 51.0023
0 37 625.332 14.7419 32.968
0 38 668.706 14.0479 31.1167
0 39 647.857 13.6429 63.8672
0 40 614.806 12.854 14.7033
0 41 620.369 12.4435 20.1379
0 42 687.757 8.79072 11.0654
0 43 663.103 9.13771 4.98808
0 44 636.287 11.4677 23.5294
0 45 620.809 11.3941 17.5409
0 46 680.467 10.1899 21.8071
0 47 645.396 10.5311 85.6883
0 48 606.26 7.61826 2.79898
0 49 618.89 7.47108 2.58777
0 50 600.312 8.21313 8.89374
0 51 610.556 7.99956 10.9992
0 52 605.445 9.93626 11.9279
0 53 606.056 10.5024 16.9114
0 54 615.771 9.77224 11.9957
0 55 606.717 9.69117 9.06373
0 56 618.095 9.27501 36.937
0 57 614.371 8.35998 3.82465
