#Prestal File V0.0.1	2024-11-7_14-22-54_358243
#Generate by /mnt/d/jhs/tstData/20241107142157_baseline_entry.root
#fecid channelid mean sigma chi2/ndf
0 0 687.484 24.2934 32.2426
0 1 658.697 15.1916 178.222
0 2 604.253 23.2614 13.4101
0 3 585.96 15.6439 119.047
0 4 642.147 27.5921 21.3636
0 5 602.989 15.8838 231.199
0 6 608.145 28.2126 45.0809
0 7 601.582 16.4093 209.171
0 8 586.624 20.173 29.3053
0 9 577.271 12.6568 152.734
0 10 647.945 19.9577 43.8476
0 11 610.417 12.6 135.845
0 12 680.736 23.0611 329.218
0 13 607.503 16.08 603.824
0 14 607.017 16.7244 272.821
0 15 585.257 14.911 415.576
0 16 590.49 20.461 82.2944
0 17 608.767 12.8434 198.143
0 18 590.776 20.443 22.2203
0 19 568.083 12.9402 121.009
0 20 583.319 19.8984 62.8262
0 21 593.927 12.6108 248.093
0 22 606.512 19.2414 115.079
0 23 602.14 12.4945 192.316
0 24 596.018 18.0495 50.959
0 25 582.972 12.2206 138.422
0 26 601.815 20.1066 11.718
0 27 586.095 11.4805 113.573
0 28 608.661 19.0634 18.1169
0 29 604.724 12.1209 155.243
0 30 606.682 20.5331 17.3775
0 31 594.048 11.7844 125.889
0 32 714.134 17.4428 35.118
0 33 613.698 12.1138 175.049
0 34 683.409 18.4105 176.814
0 35 615.723 11.5538 251.209
0 36 679.263 20.6258 79.7501
0 37 621.9 11.6416 435.207
0 38 695.019 20.0669 121.402
0 39 637.728 11.8184 456.106
0 40 631.206 20.3283 66.8717
0 41 612.71 11.371 238.166
0 42 699.951 17.8307 108.963
0 43 655.482 11.5768 229.582
0 44 660.239 20.0368 316.652
0 45 631.205 11.5483 693.858
0 46 705.377 19.2443 143.025
0 47 646.193 11.5151 458.052
0 48 627.138 23.6547 108.758
0 49 605.771 15.0659 395.823
0 50 624.713 23.7925 36.6766
0 51 601.837 14.4452 222.183
0 52 606.727 17.9835 89.1219
0 53 598.571 11.9946 274.264
0 54 629.168 18.5124 327.886
0 55 620.187 12.2433 541.785
0 56 641.231 20.9406 62.5123
0 57 623.981 15.1814 231.899
0 58 639.677 21.0617 40.1551
0 59 643.056 15.0054 221.111
0 60 700.458 17.8218 198.914
0 61 637.106 16.5421 158.175
0 62 688.017 20.7904 47.7411
0 63 622.335 15.3872 168.041
0 64 684.186 17.5949 144.093
0 65 689.326 15.5381 205.353
0 66 602.829 17.4296 150.03
0 67 653.443 14.8126 160.752
0 68 601.86 19.9128 132.363
0 69 592.59 18.4313 198.007
0 70 596.32 17.9984 262.085
0 71 613.186 19.8153 161.85
0 72 631.923 25.9729 46.3457
0 73 640.944 15.1485 116.355
0 74 600.797 12.4637 114.186
0 75 657.336 12.3759 425.958
0 76 602.804 17.4301 684.61
0 77 609.757 13.6421 607.908
0 78 589.17 16.0605 138.012
0 79 584.151 16.359 186.097
0 80 636.279 14.7275 175.462
0 81 587.45 12.2058 188.906
0 82 614.404 14.6012 77.9472
0 83 584.399 13.5008 121.619
0 84 592.281 15.9154 134.895
0 85 619.82 14.1876 99.7499
0 86 581.405 12.7884 492.528
0 87 585.313 15.1626 236.003
0 88 629.955 12.4715 73.1418
0 89 628.733 13.7234 57.974
0 90 600.874 12.6965 193.449
0 91 583.504 11.6428 125.541
0 92 586.258 12.1849 92.1639
0 93 602.87 12.0037 101.13
0 94 607.163 13.7653 81.5869
0 95 578.735 12.7333 115.668
0 96 591.533 15.4065 99.0084
0 97 612.188 11.7954 201.778
0 98 569.211 14.055 243.834
0 99 600.558 12.0779 235.235
0 100 598.563 15.4216 201.4
0 101 574.128 14.9652 313.871
0 102 578.751 12.6517 393.832
0 103 583.923 14.4788 190.663
0 104 589.38 14.913 143.779
0 105 600.572 15.1715 150.586
0 106 586.638 11.6857 106.292
0 107 622.817 12.4187 225.698
0 108 584.655 12.2448 860.997
0 109 581.3 12.8415 701.87
0 110 580.098 14.6467 344.757
0 111 586.837 12.2749 324.848
0 112 626.35 18.1198 313.622
0 113 606.433 14.7071 316.521
0 114 619.399 14.8209 192.257
0 115 607.821 14.3937 107.772
0 116 588.09 12.4004 501.909
0 117 606.201 20.1107 211.986
0 118 612.501 12.4786 683.334
0 119 620.122 14.3192 424.393
0 120 631.39 18.9927 135.742
0 121 608.64 15.382 199.364
0 122 623.204 17.7379 150.614
0 123 584.613 15.7095 165.295
0 124 628.527 18.3634 124.553
0 125 617.268 15.0453 151.982
0 126 607.561 18.3847 115.497
0 127 603.103 15.4517 165.361
1 0 704.979 24.4384 40.6311
1 1 658.115 11.456 128.518
1 2 603.809 22.9315 20.4316
1 3 597.035 12.0426 73.0241
1 4 636.136 26.1711 38.8464
1 5 598.701 12.1634 216.323
1 6 600.51 28.7097 39.8664
1 7 619.572 13.564 163.542
1 8 588.861 22.5384 27.9763
1 9 567.106 10.7447 112.749
1 10 623.399 21.324 113.417
1 11 608.993 10.3936 172.026
1 12 684.251 24.1807 250.83
1 13 628.023 10.0808 661.085
1 14 605.249 21.0085 128.757
1 15 600.772 11.1859 295.051
1 16 593.026 20.5225 102.126
1 17 592.984 9.89723 170.6
1 18 589.849 20.0498 16.1121
1 19 577.437 9.31466 88.5481
1 20 603.494 18.8897 73.5424
1 21 597.208 9.73506 271.882
1 22 601.532 19.0257 173.44
1 23 604.659 10.1941 309.004
1 24 590.552 17.0806 18.453
1 25 597.753 8.97369 86.5111
1 26 606.109 18.9981 14.6279
1 27 594.101 8.92226 43.7483
1 28 612.539 16.6412 29.0021
1 29 608.278 9.14106 78.3694
1 30 609.862 19.8082 31.0106
1 31 603.34 9.50498 72.9957
1 32 701.335 15.3554 64.5252
1 33 603.688 8.30195 83.6103
1 34 634.7 16.4802 59.175
1 35 610.241 8.84939 106.665
1 36 637.868 18.6267 48.5346
1 37 627.491 8.70436 324.006
1 38 661.002 20.6296 189.56
1 39 617.535 8.88612 225.15
1 40 611.389 17.8655 12.1801
1 41 608.051 8.33997 104.372
1 42 683.134 16.4894 152.652
1 43 655.657 4.68744 955.43
1 44 629.374 17.149 224.581
1 45 624.314 7.95743 736.717
1 46 667.658 10.3919 315.54
1 47 658.42 4.87342 734.325
1 48 593.459 19.4416 42.6191
1 49 603.356 8.50559 201.29
1 50 591.143 18.4457 16.7521
1 51 587.262 8.29187 64.57
1 52 585.796 15.2479 66.7218
1 53 573.763 8.15458 346.779
1 54 603.729 15.6331 180.246
1 55 599.996 8.49131 373.5
1 56 613.564 16.4436 7.12898
1 57 598.175 8.56675 69.5139
1 58 608.373 16.064 8.7222
1 59 639.382 8.52288 32.721
1 60 674.611 10.5944 25.4319
1 61 639.6 10.9658 64.3794
1 62 655.771 16.5498 15.6568
1 63 627.517 8.59681 62.1898
1 64 680.443 15.6337 115.718
1 65 700.408 12.6509 194.407
1 66 618.284 18.7428 96.9315
1 67 637.269 15.0081 131.496
1 68 612.621 19.7313 138.494
1 69 601.786 18.5397 226.835
1 70 614.219 16.1966 238.061
1 71 617.279 19.2273 112.107
1 72 652.901 28.5682 49.6556
1 73 629.517 16.4087 110.726
1 74 610.262 15.1808 126.16
1 75 656.653 17.069 204.403
1 76 602.487 13.9262 742.622
1 77 624.34 18.1857 497.304
1 78 594.824 18.9731 167.434
1 79 595.834 14.7403 186.195
1 80 646.497 13.4504 146.894
1 81 609.205 12.5887 152.93
1 82 629.907 13.9194 84.2447
1 83 611.903 14.2707 110.443
1 84 610.495 15.2563 146.823
1 85 628.911 14.7112 111.084
1 86 605.596 13.1031 362.851
1 87 612.92 16.1672 201.796
1 88 657.772 13.4009 65.1576
1 89 650.732 12.7826 72.2319
1 90 626.297 12.938 137.184
1 91 589.819 12.8622 100.163
1 92 607.398 14.2109 109.885
1 93 622.737 11.8925 94.5107
1 94 619.791 13.931 73.6084
1 95 619.327 14.3559 102.613
1 96 608.344 12.7012 83.8709
1 97 604.421 11.3839 177.88
1 98 588.475 11.9338 151.246
1 99 598.463 12.0781 141.237
1 100 601.45 13.6267 188.956
1 101 589.676 12.719 286.476
1 102 600.651 12.6751 298.247
1 103 592.893 14.2521 149.869
1 104 609.62 13.2829 96.6697
1 105 606.202 12.4546 136.254
1 106 599.577 11.1841 109.056
1 107 612.393 12.0242 214.057
1 108 593.117 12.9506 825.636
1 109 579.774 12.1306 740.539
1 110 -68.4301 7.23783 287.517
1 111 606.315 11.8729 222.1
1 112 638.703 12.2611 288.154
1 113 625.896 10.5183 283.197
